;SIGLA_UF_PV;NOME_MUNICIPIO_PV;NOTA_LINGUAGENS;NOTA_HUMANAS;NOTA_MATEMATICA;NOTA_NATUREZA;NOTA_REDAC;CIDADE/UF;LAT;LON
1431;SC;Florianópolis;543.4450429067008;567.2201752784371;596.4422183841873;537.2057570523892;656.7500456454263;Florianópolis, SC;-27.5973002;-48.5496098
1432;SC;Fraiburgo;511.23464566929135;529.382283464567;551.4765690376569;497.2297071129707;599.6850393700787;Fraiburgo, SC;-27.023288;-50.919978
1433;SC;Garopaba;511.3;524.116;538.7726086956521;491.5843478260869;573.76;Garopaba, SC;-28.0274798;-48.6240197
1434;SC;Guaramirim;500.07473684210527;525.7889473684211;549.2947674418605;502.5133720930233;600.421052631579;Guaramirim, SC;-26.4744805;-48.9981151
1435;SC;Imbituba;510.41988795518205;527.2820728291317;544.2863221884498;504.80212765957447;615.406162464986;Imbituba, SC;-28.241827;-48.6643444
1436;SC;Indaial;510.65301587301593;535.9015873015873;552.1179054054054;507.0543918918919;594.4761904761905;Indaial, SC;-26.8901747;-49.2416736
1437;SC;Itajaí;519.000873069174;535.829684351914;556.6854105571848;506.0039589442815;629.2813969106783;Itajaí, SC;-26.9046787;-48.6552979
1438;SC;Itapema;519.010447761194;532.9925373134329;553.362591240876;506.9799270072993;606.8988391376452;Itapema, SC;-27.09472;-48.6137778
1439;SC;Itapiranga;491.6015060240964;519.4472891566265;541.7149532710281;497.38660436137076;619.9397590361446;Itapiranga, SC;-27.1719977;-53.7118734
1440;SC;Ituporanga;483.12210065645513;510.1142231947484;520.4868663594469;491.50046082949314;617.8993435448577;Ituporanga, SC;-27.4096219;-49.6014812
1441;SC;Içara;506.26325757575756;527.6481060606061;551.479268292683;505.5658536585366;609.5454545454545;Içara, SC;-28.7116553;-49.2971441
1442;SC;Jaraguá do Sul;526.3009267840592;549.654031510658;580.1666335650448;527.1641509433963;650.2502316960148;Jaraguá do Sul, SC;-26.4897432;-49.0778063
1443;SC;Joaçaba;512.4716470588236;535.6155294117647;548.2530817610063;504.8519496855346;624.9176470588235;Joaçaba, SC;-27.1737204;-51.5065214
1444;SC;Joinville;529.1437947199605;546.7339501603751;579.3422228060956;517.8568050446663;646.7999013076733;Joinville, SC;-26.3044898;-48.8486726
1445;SC;Lages;500.8566244725738;523.2610126582279;537.2584990958409;501.03770343580464;613.873417721519;Lages, SC;-27.8165664;-50.325883
1446;SC;Laguna;519.2580291970803;538.8923357664233;541.1832684824903;503.7498054474708;623.0656934306569;Laguna, SC;-28.4837443;-48.7816572
1447;SC;Mafra;499.7601102941176;529.8044117647058;544.7996168582376;503.7496168582375;607.0955882352941;Mafra, SC;-26.1150943;-49.8035982
1448;SC;Maravilha;497.53481894150417;523.0139275766016;535.8056851311953;501.73950437317785;619.1922005571031;Maravilha, SC;-26.7623898;-53.1747387
1449;SC;Navegantes;505.0417142857143;521.9980952380953;528.0894736842105;486.85494736842105;590.0190476190476;Navegantes, SC;-26.8898813;-48.6495828
1450;SC;Orleans;501.6261682242991;520.8501557632399;550.2017123287671;507.0842465753425;616.1993769470405;Orleans, SC;-28.3572698;-49.2872434
1451;SC;Palhoça;513.0978235967928;530.9009163802979;549.7567272727273;501.85872727272726;603.0584192439862;Palhoça, SC;-27.6447774;-48.6646323
1452;SC;Palmitos;485.82952127659576;513.1292553191489;531.6527472527473;493.04587912087914;605.9574468085107;Palmitos, SC;-27.0711023;-53.1596594
1453;SC;Porto União;506.63955223880595;528.869776119403;551.1583673469387;508.26612244897956;624.1044776119403;Porto União, SC;-26.2336416;-51.082771
1454;SC;Quilombo;466.50517241379305;501.39425287356323;513.6024096385543;487.38975903614454;592.183908045977;Quilombo, SC;-26.7253683;-52.7193084
1455;SC;Rio Negrinho;497.09809160305343;526.4049618320611;533.6482071713148;498.6091633466135;600.5343511450382;Rio Negrinho, SC;-26.259075;-49.517746
1456;SC;Rio do Sul;505.1584107327141;529.0247678018576;546.9808628318584;506.5925884955752;614.6955624355005;Rio do Sul, SC;-27.2162607;-49.643654
1457;SC;Seara;498.5348936170213;526.5859574468085;543.0497816593886;499.8375545851529;609.1063829787234;Seara, SC;-27.1528578;-52.3096985
1458;SC;Sombrio;500.79322381930183;518.9039014373717;539.5227477477478;492.425;602.17659137577;Sombrio, SC;-29.107985;-49.632776
1459;SC;São Bento do Sul;513.6446428571429;542.0119047619048;562.0247261345853;511.5837245696401;627.5892857142857;São Bento do Sul, SC;-26.2483669;-49.3820672
1460;SC;São Francisco do Sul;515.6003636363637;526.1618181818181;548.6252964426878;498.8300395256917;601.5272727272727;São Francisco do Sul, SC;-26.2495087;-48.6308087
1461;SC;São Joaquim;489.22060606060603;515.2515151515152;522.6526666666666;481.5406666666667;538.060606060606;São Joaquim, SC;-28.2924972;-49.9353255
1462;SC;São José;524.0046375506529;545.7170643854121;568.9490665390139;515.7549545236956;633.9756866276452;São José, SC;-27.6157733;-48.6276491
1463;SC;São Lourenço do Oeste;499.4632947976878;526.3921965317919;549.7410179640718;493.787125748503;622.3121387283237;São Lourenço do Oeste, SC;-26.35566;-52.849837
1464;SC;São Miguel do Oeste;508.5422754491018;532.7425149700599;546.0808564231738;507.46372795969774;637.245508982036;São Miguel do Oeste, SC;-26.7278977;-53.5176689
1465;SC;Taió;478.0683333333333;506.5813333333333;515.1043010752688;486.8817204301075;581.1333333333333;Taió, SC;-27.1167574;-50.0002159
1466;SC;Tijucas;511.1895480225989;533.4680790960452;540.011009174312;500.43027522935785;597.7401129943503;Tijucas, SC;-27.239404;-48.6353696
1467;SC;Timbó;522.6383435582823;547.2457055214724;574.1324675324674;517.2610389610389;618.282208588957;Timbó, SC;-26.8282737;-49.270641
